code,definition,display,
00.54,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],Imp/rep CRT defib genat,
00.55,Insertion of drug-eluting stent(s) of other peripheral vessel(s),Ins d-e stent oth periph,
00.56,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring,Ins/rep sens-crd/vsl mtr,
00.57,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring,Imp/rep subcue card dev,
00.58,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative),Ins intra-ansm pres mntr,
00.59,Intravascular pressure measurement of coronary arteries,Intravasc msmnt cor art,
00.60,Insertion of drug-eluting stent(s) of superficial femoral artery,Ins d-e stnt sup fem art,
00.61,Percutaneous angioplasty of extracranial vessel(s),Perc angio extracran ves,
00.62,Percutaneous angioplasty of intracranial vessel(s),Perc angio intracran ves,
00.63,Percutaneous insertion of carotid artery stent(s),Perc ins carotid stent,
00.64,Percutaneous insertion of other extracranial artery stent(s),Perc ins extracran stent,
00.65,Percutaneous insertion of intracranial vascular stent(s),Perc ins intracran stent,
00.66,Percutaneous transluminal coronary angioplasty [PTCA],PTCA,
00.67,Intravascular pressure measurement of intrathoracic arteries,Intravas msmnt thorc art,
00.68,Intravascular pressure measurement of peripheral arteries,Intravas msmt periph art,
00.69,"Intravascular pressure measurement, other specified and unspecified vessels",Intravs msmt ves NEC/NOS,
00.70,"Revision of hip replacement, both acetabular and femoral components",Rev hip repl-acetab/fem,
00.71,"Revision of hip replacement, acetabular component",Rev hip repl-acetab comp,
00.72,"Revision of hip replacement, femoral component",Rev hip repl-fem comp,
00.73,"Revision of hip replacement, acetabular liner and/or femoral head only",Rev hip repl-liner/head,
00.74,"Hip bearing surface, metal-on-polyethylene","Hip surface, metal/poly",
00.75,"Hip bearing surface, metal-on-metal","Hip surface, metal/metal",
00.76,"Hip bearing surface, ceramic-on-ceramic","Hip surface, cermc/cermc",
00.77,"Hip bearing surface, ceramic-on-polyethylene","Hip surface, cermc/poly",
00.80,"Revision of knee replacement, total (all components)",Rev knee replacemt-total,
00.81,"Revision of knee replacement, tibial component",Rev knee repl-tibia comp,
00.82,"Revision of knee replacement, femoral component",Rev knee repl-femur comp,
00.83,"Revision of knee replacement, patellar component",Rev knee replace-patella,
00.84,"Revision of total knee replacement, tibial insert (liner)",Rev knee repl-tibia lin,
00.85,"Resurfacing hip, total, acetabulum and femoral head","Resrf hip,total-acet/fem",
00.86,"Resurfacing hip, partial, femoral head","Resrf hip,part-fem head",
00.87,"Resurfacing hip, partial, acetabulum","Resrf hip,part-acetablum",
00.91,Transplant from live related donor,Trnsplnt live rel donor,
00.92,Transplant from live non-related donor,Trnsplnt live nonrel don,
00.93,Transplant from cadaver,Transplant cadaver donor,
00.94,Intra-operative neurophysiologic monitoring,Intra-op neurophys montr,
00.95,Injection or infusion of glucarpidase,Injct/infus glucarpidase,
00.96,Infusion of 4-Factor Prothrombin Complex Concentrate,Infusion 4F-PCC,
01.01,Cisternal puncture,Cisternal puncture,
01.02,Ventriculopuncture through previously implanted catheter,Ventricl shunt tube punc,
01.09,Other cranial puncture,Cranial puncture NEC,
01.10,Intracranial pressure monitoring,Intracran pressure montr,
01.11,Closed [percutaneous] [needle] biopsy of cerebral meninges,Clos cereb meninges bx,
01.12,Open biopsy of cerebral meninges,Open cereb meninges bx,
01.13,Closed [percutaneous] [needle] biopsy of brain,Closed brain biopsy,
01.14,Open biopsy of brain,Open brain biopsy,
01.15,Biopsy of skull,Skull biopsy,
01.16,Intracranial oxygen monitoring,Intracranial 02 monitor,
01.17,Brain temperature monitoring,Brain temp monitoring,
01.18,Other diagnostic procedures on brain and cerebral meninges,Other brain dx procedure,
01.19,Other diagnostic procedures on skull,Other skull dx procedure,
01.20,Cranial implantation or replacement of neurostimulator pulse generator,Imp/repl brain pulse gen,
01.21,Incision and drainage of cranial sinus,Cranial sinus i & d,
01.22,Removal of intracranial neurostimulator lead(s),Removal brain stim lead,
01.23,Reopening of craniotomy site,Reopen craniotomy site,
01.24,Other craniotomy,Other craniotomy,
01.25,Other craniectomy,Other craniectomy,
01.26,Insertion of catheter(s) into cranial cavity or tissue,Ins cath cranial cav/tis,
01.27,Removal of catheter(s) from cranial cavity or tissue,Rem cath cranial cav/tis,
01.28,Placement of intracerebral catheter(s) via burr hole(s),Intracereb cth-burr hole,
01.29,Removal of cranial neurostimulator pulse generator,Rem brain pulse generatr,
01.31,Incision of cerebral meninges,Incise cerebral meninges,
01.32,Lobotomy and tractotomy,Lobotomy & tractotomy,
01.39,Other incision of brain,Other brain incision,
01.41,Operations on thalamus,Thalamus operations,
01.42,Operations on globus pallidus,Globus pallidus ops,
01.51,Excision of lesion or tissue of cerebral meninges,Ex cereb meningeal les,
01.52,Hemispherectomy,Hemispherectomy,
01.53,Lobectomy of brain,Brain lobectomy,
01.59,Other excision or destruction of lesion or tissue of brain,Other brain excision,
01.6,Excision of lesion of skull,Excise skull lesion,
02.01,Opening of cranial suture,Linear craniectomy,
02.02,Elevation of skull fracture fragments,Elevate skull fx fragmnt,
02.03,Formation of cranial bone flap,Skull flap formation,
02.04,Bone graft to skull,Bone graft to skull,
02.05,Insertion of skull plate,Skull plate insertion,
02.06,Other cranial osteoplasty,Cranial osteoplasty NEC,
02.07,Removal of skull plate,Skull plate removal,
02.11,Simple suture of dura mater of brain,Simple suture of dura,
02.12,Other repair of cerebral meninges,Brain meninge repair NEC,
02.13,Ligation of meningeal vessel,Meninge vessel ligation,
02.14,Choroid plexectomy,Choroid plexectomy,
02.21,Insertion or replacement of external ventricular drain [EVD],Insert/replace EVD,
02.22,Intracranial ventricular shunt or anastomosis,Intrcran vent shunt/anas,
02.31,Ventricular shunt to structure in head and neck,Ventricl shunt-head/neck,
02.32,Ventricular shunt to circulatory system,Ventri shunt-circula sys,
02.33,Ventricular shunt to thoracic cavity,Ventricl shunt-thorax,
02.34,Ventricular shunt to abdominal cavity and organs,Ventricl shunt-abdomen,
02.35,Ventricular shunt to urinary system,Ventri shunt-uninary sys,
02.39,Ventricular shunt to extracranial site NEC,Vent shunt extracran NEC,
02.41,Irrigation and exploration of ventricular shunt,Irrigate/expl vent shunt,
02.42,Replacement of ventricular shunt,Replace ventricle shunt,
02.43,Removal of ventricular shunt,Remove ventricle shunt,
02.91,Lysis of cortical adhesions,Lysis cortical adhesion,
02.92,Repair of brain,Brain repair,
02.93,Implantation or replacement of intracranial neurostimulator lead(s),Imp/repl brain stim lead,
02.94,Insertion or replacement of skull tongs or halo traction device,Insert/replac skull tong,
02.95,Removal of skull tongs or halo traction device,Remove skull tongs,
02.96,Insertion of sphenoidal electrodes,Insert sphenoid electrod,
02.99,"Other operations on skull, brain, and cerebral meninges",Skull & brain op NEC,
03.01,Removal of foreign body from spinal canal,Removal FB spinal canal,
03.02,Reopening of laminectomy site,Reopen laminectomy site,
03.09,Other exploration and decompression of spinal canal,Spinal canal explor NEC,
03.1,Division of intraspinal nerve root,Intraspin nerve root div,
03.21,Percutaneous chordotomy,Percutaneous chordotomy,
03.29,Other chordotomy,Other chordotomy,
03.31,Spinal tap,Spinal tap,
03.32,Biopsy of spinal cord or spinal meninges,Spinal cord/meninges bx,
03.39,Other diagnostic procedures on spinal cord and spinal canal structures,Other spinal dx proc,
03.4,Excision or destruction of lesion of spinal cord or spinal meninges,Excis spinal cord lesion,
03.51,Repair of spinal meningocele,Spine meningocele repair,
03.52,Repair of spinal myelomeningocele,Myelomeningocel repair,
03.53,Repair of vertebral fracture,Vertebral fx repair,
03.59,Other repair and plastic operations on spinal cord structures,Spinal struct repair NEC,
03.6,Lysis of adhesions of spinal cord and nerve roots,Spinal cord adhesiolysis,
03.71,Spinal subarachnoid-peritoneal shunt,Subarach-periton shunt,
03.72,Spinal subarachnoid-ureteral shunt,Subarach-ureteral shunt,
03.79,Other shunt of spinal theca,Oth spinal thecal shunt,
03.8,Injection of destructive agent into spinal canal,Destr inject-spine canal,
03.90,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances,Insert spinal canal cath,
03.91,Injection of anesthetic into spinal canal for analgesia,Anesth inject-spin canal,
03.92,Injection of other agent into spinal canal,Spinal canal inject NEC,
03.93,Implantation or replacement of spinal neurostimulator lead(s),Imp/repl spine stim lead,
03.94,Removal of spinal neurostimulator lead(s),Removal spine stim lead,
03.95,Spinal blood patch,Spinal patch,
03.96,Percutaneous denervation of facet,Percutan facet denervat,
03.97,Revision of spinal thecal shunt,Revise spine theca shunt,
03.98,Removal of spinal thecal shunt,Remove spine theca shunt,
03.99,Other operations on spinal cord and spinal canal structures,Spine canal struc op NEC,
04.01,Excision of acoustic neuroma,Excision acoustc neuroma,
04.02,Division of trigeminal nerve,Trigeminal nerv division,
04.03,Division or crushing of other cranial and peripheral nerves,Periph nerve div NEC,
04.04,Other incision of cranial and peripheral nerves,Periph nerve incis NEC,
04.05,Gasserian ganglionectomy,Gasserian ganglionectomy,
04.06,Other cranial or peripheral ganglionectomy,Periph ganglionect NEC,
04.07,Other excision or avulsion of cranial and peripheral nerves,Periph nerv excision NEC,
04.11,Closed [percutaneous] [needle] biopsy of cranial or peripheral nerve or ganglion,Clos periph nerve biopsy,
04.12,Open biopsy of cranial or peripheral nerve or ganglion,Open periph nerve biopsy,
04.19,Other diagnostic procedures on cranial and peripheral nerves and ganglia,Periph nerve dx proc NEC,
04.2,Destruction of cranial and peripheral nerves,Periph nerve destruction,
04.3,Suture of cranial and peripheral nerves,Peripheral nerve suture,
04.41,Decompression of trigeminal nerve root,Decompress trigem root,
04.42,Other cranial nerve decompression,Cran nerv root decom NEC,
04.43,Release of carpal tunnel,Carpal tunnel release,
04.44,Release of tarsal tunnel,Tarsal tunnel release,
04.49,Other peripheral nerve or ganglion decompression or lysis of adhesions,Per nerve adhesiolys NEC,
04.5,Cranial or peripheral nerve graft,Peripheral nerve graft,
04.6,Transposition of cranial and peripheral nerves,Periph nerve transposit,
04.71,Hypoglossal-facial anastomosis,Hypogloss-facial anastom,
04.72,Accessory-facial anastomosis,Accessory-facial anastom,
04.73,Accessory-hypoglossal anastomosis,Access-hypogloss anastom,
04.74,Other anastomosis of cranial or peripheral nerve,Periph nerv anastom NEC,
04.75,Revision of previous repair of cranial and peripheral nerves,Postop revis per nerv op,
04.76,Repair of old traumatic injury of cranial and peripheral nerves,Late repair per nerv inj,
04.79,Other neuroplasty,Other neuroplasty,
04.80,"Peripheral nerve injection, not otherwise specified",Periph nerve inject NOS,
04.81,Injection of anesthetic into peripheral nerve for analgesia,Anesth injec periph nerv,
04.89,"Injection of other agent, except neurolytic",Periph nerve inject NEC,
04.91,Neurectasis,Neurectasis,
04.92,Implantation or replacement of peripheral neurostimulator lead(s),Imp/repl peri stim lead,
04.93,Removal of peripheral neurostimulator lead(s),Removal peri stim lead,
04.99,Other operations on cranial and peripheral nerves,Peripheral nerve ops NEC,
05.0,Division of sympathetic nerve or ganglion,Sympath nerve division,
05.11,Biopsy of sympathetic nerve or ganglion,Sympathetic nerve biopsy,
05.19,Other diagnostic procedures on sympathetic nerves or ganglia,Sympath nrv dx proc NEC,
05.21,Sphenopalatine ganglionectomy,Sphenopalatin ganglionec,
05.22,Cervical sympathectomy,Cervical sympathectomy,
05.23,Lumbar sympathectomy,Lumbar sympathectomy,
05.24,Presacral sympathectomy,Presacral sympathectomy,
05.25,Periarterial sympathectomy,Periart sympathectomy,
05.29,Other sympathectomy and ganglionectomy,Other sympathectomy,
05.31,Injection of anesthetic into sympathetic nerve for analgesia,Anesth inject symp nerve,
05.32,Injection of neurolytic agent into sympathetic nerve,Neurolyt injec-symp nrv,
05.39,Other injection into sympathetic nerve or ganglion,Sympath nerve inject NEC,
05.81,Repair of sympathetic nerve or ganglion,Sympathetic nerve repair,
05.89,Other operations on sympathetic nerves or ganglia,Sympathetic nerve op NEC,
05.9,Other operations on nervous system,Other nervous system ops,
06.01,Aspiration of thyroid field,Thyroid field aspiration,
06.02,Reopening of wound of thyroid field,Reopen thyroid field wnd,
06.09,Other incision of thyroid field,Incis thyroid field NEC,
06.11,Closed [percutaneous] [needle] biopsy of thyroid gland,Closed thyroid gland bx,
06.12,Open biopsy of thyroid gland,Open thyroid gland bx,
06.13,Biopsy of parathyroid gland,Parathyroid biopsy,
06.19,Other diagnostic procedures on thyroid and parathyroid glands,Thyr/parathy dx proc NEC,
06.2,Unilateral thyroid lobectomy,Unilat thyroid lobectomy,
06.31,Excision of lesion of thyroid,Excision thyroid lesion,
06.39,Other partial thyroidectomy,Part thyroidectomy NEC,
06.4,Complete thyroidectomy,Complete thyroidectomy,
06.50,"Substernal thyroidectomy, not otherwise specified",Substern thyroidect NOS,
06.51,Partial substernal thyroidectomy,Part substern thyroidect,
06.52,Complete substernal thyroidectomy,Tot substern thyroidect,
06.6,Excision of lingual thyroid,Lingual thyroid excision,
06.7,Excision of thyroglossal duct or tract,Thyrogloss duct excision,
06.81,Complete parathyroidectomy,Total parathyroidectomy,
06.89,Other parathyroidectomy,Other parathyroidectomy,
06.91,Division of thyroid isthmus,Thyroid isthmus division,
06.92,Ligation of thyroid vessels,Thyroid vessel ligation,
06.93,Suture of thyroid gland,Thyroid suture,
06.94,Thyroid tissue reimplantation,Thyroid reimplantation,
06.95,Parathyroid tissue reimplantation,Parathyroid reimplant,
06.98,Other operations on thyroid glands,Other thyroid operations,
06.99,Other operations on parathyroid glands,Other parathyroid ops,
07.00,"Exploration of adrenal field, not otherwise specified",Adrenal exploration NOS,
07.01,Unilateral exploration of adrenal field,Unilat adrenal explorat,
07.02,Bilateral exploration of adrenal field,Bilat adrenal explorat,
07.11,Closed [percutaneous] [needle] biopsy of adrenal gland,Closed adrenal gland bx,
07.12,Open biopsy of adrenal gland,Open adrenal gland bx,
07.13,"Biopsy of pituitary gland, transfrontal approach",Transfront pituitary bx,
07.14,"Biopsy of pituitary gland, transsphenoidal approach",Transphen pituitary bx,
07.15,"Biopsy of pituitary gland, unspecified approach",Pituitary biopsy NOS,
07.16,Biopsy of thymus,Thymus biopsy,
07.17,Biopsy of pineal gland,Pineal biopsy,
07.19,"Other diagnostic procedures on adrenal glands, pituitary gland, pineal gland, and thymus",Endocrine dx proc NEC,
07.21,Excision of lesion of adrenal gland,Adrenal lesion excision,
07.22,Unilateral adrenalectomy,Unilateral adrenalectomy,
07.29,Other partial adrenalectomy,Part adrenalectomy NEC,
07.3,Bilateral adrenalectomy,Bilateral adrenalectomy,
07.41,Incision of adrenal gland,Adrenal incision,
07.42,Division of nerves to adrenal glands,Adrenal nerve division,
07.43,Ligation of adrenal vessels,Adrenal vessel ligation,
07.44,Repair of adrenal gland,Adrenal repair,
07.45,Reimplantation of adrenal tissue,Adrenal reimplantation,
07.49,"Other operations on adrenal glands, nerves, and vessels",Adrenal operation NEC,
07.51,Exploration of pineal field,Pineal field exploration,
07.52,Incision of pineal gland,Pineal gland incision,
07.53,Partial excision of pineal gland,Partial pinealectomy,
07.54,Total excision of pineal gland,Total pinealectomy,
07.59,Other operations on pineal gland,Pineal operation NEC,
07.61,"Partial excision of pituitary gland, transfrontal approach",Exc pituit les-transfron,
07.62,"Partial excision of pituitary gland, transsphenoidal approach",Exc pituit les-transphen,
07.63,"Partial excision of pituitary gland, unspecified approach",Part excis pituitary NOS,
07.64,"Total excision of pituitary gland, transfrontal approach",Tot exc pituit-transfron,
07.65,"Total excision of pituitary gland, transsphenoidal approach",Tot exc pituit-transphen,
07.68,"Total excision of pituitary gland, other specified approach",Total exc pituitary NEC,
07.69,"Total excision of pituitary gland, unspecified approach",Total exc pituitary NOS,
07.71,Exploration of pituitary fossa,Pituitary fossa explorat,
07.72,Incision of pituitary gland,Pituitary gland incision,
07.79,Other operations on hypophysis,Pituitary operation NEC,
07.80,"Thymectomy, not otherwise specified",Thymectomy NOS,
07.81,Other partial excision of thymus,Oth part excision thymus,
07.82,Other total excision of thymus,Oth totl excision thymus,
07.83,Thoracoscopic partial excision of thymus,Thorac part exisn thymus,
07.84,Thoracoscopic total excision of thymus,Thorac total exc thymus,
07.91,Exploration of thymus field,Thymus field exploration,
07.92,Other incision of thymus,Other incision of thymus,
07.93,Repair of thymus,Repair of thymus,
07.94,Transplantation of thymus,Thymus transplantation,
07.95,Thoracoscopic incision of thymus,Thorac incision thymus,
07.98,Other and unspecified thoracoscopic operations on thymus,Oth thorac op thymus NOS,
07.99,Other and unspecified operations on thymus,Other thymus ops NOS,
08.01,Incision of lid margin,Incision of lid margin,
08.02,Severing of blepharorrhaphy,Blepharorrhaphy severing,
08.09,Other incision of eyelid,Other eyelid incision,
08.11,Biopsy of eyelid,Eyelid biopsy,
08.19,Other diagnostic procedures on eyelid,Eyelid dx procedure NEC,
08.20,"Removal of lesion of eyelid, not otherwise specified",Remove eyelid lesion NOS,
08.21,Excision of chalazion,Chalazion excision,
08.22,Excision of other minor lesion of eyelid,Excise minor les lid NEC,
08.23,"Excision of major lesion of eyelid, partial-thickness",Exc maj les lid prt-thic,
08.24,"Excision of major lesion of eyelid, full-thickness",Exc maj les lid ful-thic,
08.25,Destruction of lesion of eyelid,Destruction lid lesion,
08.31,Repair of blepharoptosis by frontalis muscle technique with suture,Ptosis rep-front mus sut,
08.32,Repair of blepharoptosis by frontalis muscle technique with fascial sling,Ptosis rep-fron mus slng,
08.33,Repair of blepharoptosis by resection or advancement of levator muscle or aponeurosis,Ptosis rep-levat mus adv,
08.34,Repair of blepharoptosis by other levator muscle techniques,Ptosis rep-levat mus NEC,
08.35,Repair of blepharoptosis by tarsal technique,Ptos rep-tarsal techniq,
08.36,Repair of blepharoptosis by other techniques,Blepharoptos repair NEC,
08.37,Reduction of overcorrection of ptosis,Reduc overcorrect ptosis,
08.38,Correction of lid retraction,Correct lid retraction,
08.41,Repair of entropion or ectropion by thermocauterization,Thermocaut/entropion rep,
08.42,Repair of entropion or ectropion by suture technique,Suture entropion repair,
08.43,Repair of entropion or ectropion with wedge resection,Wedg resec entropion rep,
08.44,Repair of entropion or ectropion with lid reconstruction,Lid recons entropion rep,
08.49,Other repair of entropion or ectropion,Entropion/ectrop rep NEC,
08.51,Canthotomy,Canthotomy,
08.52,Blepharorrhaphy,Blepharorrhaphy,
08.59,Other adjustment of lid position,Adjust lid position NEC,
08.61,Reconstruction of eyelid with skin flap or graft,Lid reconst w skin graft,
08.62,Reconstruction of eyelid with mucous membrane flap or graft,Lid reconst w muc graft,
08.63,Reconstruction of eyelid with hair follicle graft,Lid reconst w hair graft,
08.64,Reconstruction of eyelid with tarsoconjunctival flap,Lid recon-tarsoconj flap,
08.69,Other reconstruction of eyelid with flaps or grafts,Lid reconstr w graft NEC,
08.70,"Reconstruction of eyelid, not otherwise specified",Lid reconstruction NOS,
08.71,"Reconstruction of eyelid involving lid margin, partial-thickness",Lid marg recon-part thic,
08.72,"Other reconstruction of eyelid, partial-thickness",Lid recons-part thic NEC,
08.73,"Reconstruction of eyelid involving lid margin, full-thickness",Lid marg recons ful thic,
08.74,"Other reconstruction of eyelid, full-thickness",Lid reconst-ful thic NEC,
08.81,Linear repair of laceration of eyelid or eyebrow,Linear rep lid lacer,
08.82,"Repair of laceration involving lid margin, partial-thickness",Lid marg lac rx-part th,
08.83,"Other repair of laceration of eyelid, partial-thickness",Lid lacer rx-prt th NEC,
08.84,"Repair of laceration involving lid margin, full-thickness",Lid marg lac rx-ful thic,
08.85,"Other repair of laceration of eyelid, full-thickness",Lid lac rx-ful thic NEC,
08.86,Lower eyelid rhytidectomy,Lower lid rhytidectomy,
08.87,Upper eyelid rhytidectomy,Upper lid rhytidectomy,
08.89,Other eyelid repair,Eyelid repair NEC,
08.91,Electrosurgical epilation of eyelid,Electrosurg lid epilat,
08.92,Cryosurgical epilation of eyelid,Cryosurg lid epilation,
08.93,Other epilation of eyelid,Eyelid epilation NEC,
08.99,Other operations on eyelids,Eyelid operation NEC,
09.0,Incision of lacrimal gland,Lacrimal gland incision,
09.11,Biopsy of lacrimal gland,Lacrimal gland biopsy,
09.12,Biopsy of lacrimal sac,Lacrimal sac biopsy,
09.19,Other diagnostic procedures on lacrimal system,Lacrimal sys dx proc NEC,
09.20,"Excision of lacrimal gland, not otherwise specified",Exc lacrimal gland NOS,
09.21,Excision of lesion of lacrimal gland,Excis les lacrimal gland,
09.22,Other partial dacryoadenectomy,Part dacryoadenect NEC,
09.23,Total dacryoadenectomy,Total dacryoadenectomy,
09.3,Other operations on lacrimal gland,Other lacrimal gland ops,
09.41,Probing of lacrimal punctum,Lacrimal punctum probe,
09.42,Probing of lacrimal canaliculi,Lac canaliculi probe,
09.43,Probing of nasolacrimal duct,Nasolacrimal duct probe,
09.44,Intubation of nasolacrimal duct,Nasolac duct intubat,
09.49,Other manipulation of lacrimal passage,Lac passage manip NEC,
09.51,Incision of lacrimal punctum,Lac punctum incision,
09.52,Incision of lacrimal canaliculi,Lac canaliculi incision,
09.53,Incision of lacrimal sac,Lacrimal sac incision,
09.59,Other incision of lacrimal passages,Lacrim passage incis NEC,
09.6,Excision of lacrimal sac and passage,Lacrim sac/passage excis,
09.71,Correction of everted punctum,Correct everted punctum,
09.72,Other repair of punctum,Punctum repair NEC,
09.73,Repair of canaliculus,Canaliculus repair,
09.81,Dacryocystorhinostomy [DCR],Dacryocystorhinostomy,
09.82,Conjunctivocystorhinostomy,Conjunctivocystorhinost,
09.83,Conjunctivorhinostomy with insertion of tube or stent,Conjunctivorhinos w tube,
09.91,Obliteration of lacrimal punctum,Lac punctum obliteration,
09.99,Other operations on lacrimal system,Lacrimal system op NEC,
10.0,Removal of embedded foreign body from conjunctiva by incision,Incise/remov conjunct FB,
10.1,Other incision of conjunctiva,Conjunctiva incision NEC,
10.21,Biopsy of conjunctiva,Conjunctival biopsy,
10.29,Other diagnostic procedures on conjunctiva,Conjunctiva dx proc NEC,
10.31,Excision of lesion or tissue of conjunctiva,Excise conjunctiv lesion,
10.32,Destruction of lesion of conjunctiva,Destruct conjunc les NEC,
10.33,Other destructive procedures on conjunctiva,Oth conjunc destruc proc,
10.41,Repair of symblepharon with free graft,Symbleph rep w free grft,
10.42,Reconstruction of conjunctival cul-de-sac with free graft,Graft conjunc cul-de-sac,
10.43,Other reconstruction of conjunctival cul-de-sac,Conjun cul-de-sac rx NEC,
10.44,Other free graft to conjunctiva,Conjunc free graft NEC,
10.49,Other conjunctivoplasty,Conjunctivoplasty NEC,
10.5,Lysis of adhesions of conjunctiva and eyelid,Conjunc/lid adhesiolysis,
10.6,Repair of laceration of conjunctiva,Repair conjunct lacerat,
10.91,Subconjunctival injection,Subconjunctival inject,
10.99,Other operations on conjunctiva,Conjunctival op NEC,
11.0,Magnetic removal of embedded foreign body from cornea,Magnet removal cornea FB,
11.1,Incision of cornea,Corneal incision,
11.21,Scraping of cornea for smear or culture,Corneal scrape for smear,
11.22,Biopsy of cornea,Corneal biopsy,
11.29,Other diagnostic procedures on cornea,Corneal dx proc NEC,
11.31,Transposition of pterygium,Pterygium transposition,
11.32,Excision of pterygium with corneal graft,Pteryg exc w cornea grft,
11.39,Other excision of pterygium,Pterygium excision NEC,
11.41,Mechanical removal of corneal epithelium,Mech remov cornea epith,
11.42,Thermocauterization of corneal lesion,Thermocaut cornea lesion,
11.43,Cryotherapy of corneal lesion,Cryotherap cornea lesion,
11.49,Other removal or destruction of corneal lesion,Destruct cornea les NEC,
11.51,Suture of corneal laceration,Suture cornea laceration,
11.52,Repair of postoperative wound dehiscence of cornea,Rep cornea postop dehisc,
11.53,Repair of corneal laceration or wound with conjunctival flap,Rx cornea lac w conj flp,
11.59,Other repair of cornea,Corneal repair NEC,
11.60,"Corneal transplant, not otherwise specified",Corneal transplant NOS,
11.61,Lamellar keratoplasty with autograft,Lam keratplast w autgrft,
11.62,Other lamellar keratoplasty,Lamellar keratoplast NEC,
11.63,Penetrating keratoplasty with autograft,Perf keratopl w autogrft,
11.64,Other penetrating keratoplasty,Perforat keratoplast NEC,
11.69,Other corneal transplant,Corneal transplant NEC,
11.71,Keratomileusis,Keratomileusis,
11.72,Keratophakia,Keratophakia,
11.73,Keratoprosthesis,Keratoprosthesis,
11.74,Thermokeratoplasty,Thermokeratoplasty,
11.75,Radial keratotomy,Radial keratotomy,
11.76,Epikeratophakia,Epikeratophakia,
11.79,Other reconstructive and refractive surgery on cornea,Cornea reconstruct NEC,
11.91,Tattooing of cornea,Corneal tattooing,
11.92,Removal of artificial implant from cornea,Remove corneal implant,
11.99,Other operations on cornea,Corneal operation NEC,
12.00,"Removal of intraocular foreign body from anterior segment of eye, not otherwise specified",Remov ant segmnt FB NOS,
12.01,Removal of intraocular foreign body from anterior segment of eye with use of magnet,Magnet remov ant seg FB,
12.02,Removal of intraocular foreign body from anterior segment of eye without use of magnet,Nonmag remov ant seg FB,
12.11,Iridotomy with transfixion,Iridotomy w transfixion,
12.12,Other iridotomy,Iridotomy NEC,
12.13,Excision of prolapsed iris,Prolapsed iris excision,
