code,display,definition
ADNPPPELAT,adjud. non-payee payable prior-period electronic amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted electronically.
ADNPPPELCT,adjud. non-payee payable prior-period electronic count,Identifies the total number of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted electronically.
ADNPPPMNAT,adjud. non-payee payable prior-period manual amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted manually.
ADNPPPMNCT,adjud. non-payee payable prior-period manual count,Identifies the total number of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted manually.
ADNPSPELAT,adjud. non-payee payable same-period electronic amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted electronically.
ADNPSPELCT,adjud. non-payee payable same-period electronic count,Identifies the total number of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted electronically.
ADNPSPMNAT,adjud. non-payee payable same-period manual amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted manually.
ADNPSPMNCT,adjud. non-payee payable same-period manual count,Identifies the total number of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that do not match a specified payee (e.g. pay patient) and submitted manually.
ADOL,adolescent information sensitivity,"Policy for handling information related to an adolescent, which will be afforded heightened confidentiality per applicable organizational or jurisdictional policy. An enterprise may have a policy that requires that adolescent patient information be provided heightened confidentiality. Information deemed sensitive typically includes health information and patient role information including patient status, demographics, next of kin, and location. Usage Note: For use within an enterprise in which an adolescent is the information subject. If there is a jurisdictional mandate, then use the applicable ActPrivacyLaw code system, and specify the law rather than or in addition to this more generic code."
ADPPPPELAT,adjud. payee payable prior-period electronic amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted electronically.
ADPPPPELCT,adjud. payee payable prior-period electronic count,Identifies the total number of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted electronically.
ADPPPPMNAT,adjud. payee payable prior-period manual amout,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted manually.
ADPPPPMNCT,adjud. payee payable prior-period manual count,Identifies the total number of all Invoice Groupings that were adjudicated as payable prior to the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted manually.
ADPPSPELAT,adjud. payee payable same-period electronic amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted electronically.
ADPPSPELCT,adjud. payee payable same-period electronic count,Identifies the total number of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted electronically.
ADPPSPMNAT,adjud. payee payable same-period manual amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted manually.
ADPPSPMNCT,adjud. payee payable same-period manual count,Identifies the total number of all Invoice Groupings that were adjudicated as payable during the specified time period (based on adjudication date) that match a specified payee (e.g. pay provider) and submitted manually.
ADRFPPELAT,adjud. refused prior-period electronic amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as refused prior to the specified time period (based on adjudication date) and submitted electronically.
ADRFPPELCT,adjud. refused prior-period electronic count,Identifies the total number of all Invoice Groupings that were adjudicated as refused prior to the specified time period (based on adjudication date) and submitted electronically.
ADRFPPMNAT,adjud. refused prior-period manual amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as refused prior to the specified time period (based on adjudication date) and submitted manually.
ADRFPPMNCT,adjud. refused prior-period manual count,Identifies the total number of all Invoice Groupings that were adjudicated as refused prior to the specified time period (based on adjudication date) and submitted manually.
ADRFSPELAT,adjud. refused same-period electronic amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as refused during the specified time period (based on adjudication date) and submitted electronically.
ADRFSPELCT,adjud. refused same-period electronic count,Identifies the total number of all Invoice Groupings that were adjudicated as refused during the specified time period (based on adjudication date) and submitted electronically.
ADRFSPMNAT,adjud. refused same-period manual amount,Identifies the total net amount of all Invoice Groupings that were adjudicated as refused during the specified time period (based on adjudication date) and submitted manually.
ADRFSPMNCT,adjud. refused same-period manual count,Identifies the total number of all Invoice Groupings that were adjudicated as refused during the specified time period (based on adjudication date) and submitted manually.
ADVERSE_REACTION,Adverse Reaction,Indicates that the observation is of an unexpected negative occurrence in the subject suspected to result from the subject's exposure to one or more agents. Observation values would be the symptom resulting from the reaction.
AE,American Express,American Express
AFOOT,pedestrian transport,pedestrian transport
AFTHRS,non-normal hours,Premium paid on service fees in compensation for practicing outside of normal working hours.
AGE,Age Alert,Proposed therapy may be inappropriate or contraindicated due to patient age
AGGREGATE,aggregate measure observation,"Indicates that the observation is carrying out an aggregation calculation, contained in the value element."
AHOC,accredited home care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
AIRTRNS,airborne transmission,Communication of an agent from a living subject or environmental source to a living subject through indirect contact via oral or nasal inhalation.
ALC,Alternative Level of Care,Provision of Alternate Level of Care to a patient in an acute bed. Patient is waiting for placement in a long-term care facility and is unable to return home.
ALEC,alternate electronic,Payment initiated by the payor as the result of adjudicating a submitted invoice that arrived to the payor from an electronic source that did not provide a conformant set of HL7 messages (e.g. web claim submission).
ALG,Allergy,Hypersensitivity to an agent caused by an immunologic response to an initial exposure
ALGY,Allergy Alert,Proposed therapy may be inappropriate or contraindicated because of a recorded patient allergy to the proposed product. (Allergies are immune based reactions.)
ALK,Alkalization,The act rendering alkaline by impregnating with an alkali; a conferring of alkaline qualities.
ALLCAT,all categories,Description: All patient information.
ALLDONE,already performed,Definition:The requested action has already been performed and so this request has no effect
ALLERLE,allergy list entry,Description: A person enters a known allergy for a given patient.
ALLERLREV,allergy list review,Description: A person reviews a list of known allergies of a given patient.
ALLGCAT,allergy category,Definition:All information pertaining to a patient's allergy and intolerance records.
ALRTENDLATE,end too late alert,Definition:Proposed therapy may be inappropriate or ineffective because the end of administration is too close to another planned therapy.
ALRTSTRTLATE,start too late alert,Definition:Proposed therapy may be inappropriate or ineffective because the start of administration is too late after the onset of the condition.
ALTC,accredited long term care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
AMB,ambulatory,"A comprehensive term for health care provided in a healthcare facility (e.g. a practitioneraTMs office, clinic setting, or hospital) on a nonresident basis. The term ambulatory usually implies that the patient has come to the location and is not assigned to a bed. Sometimes referred to as an outpatient encounter."
AMBAIR,fixed-wing ambulance transport,fixed-wing ambulance transport
AMBGRND,ground ambulance transport,ground ambulance transport
AMBHELO,helicopter ambulance transport,helicopter ambulance transport
AMBT,ambulance transport,ambulance transport
ANANTRNS,animal to animal transmission,Communication of an agent from one animal to another proximate animal.
ANF,adjudicated with adjustments and no financial impact,The invoice element has been accepted for payment but one or more adjustment(s) have been made to one or more invoice element line items (component charges) without changing the amount. Invoice element can be reversed (nullified). Recommend that the invoice element is saved for DUR (Drug Utilization Reporting).
ANHUMTRNS,animal to human transmission,Communication of an agent from an animal to a proximate person.
ANNDI,diagnostic image note,"Description:A note that is specific to a patient's diagnostic images, either historical, current or planned."
ANNGEN,general note,Description:A general or uncategorized note.
ANNIMM,immunization note,"A note that is specific to a patient's immunizations, either historical, current or planned."
ANNLAB,laboratory note,"Description:A note that is specific to a patient's laboratory results, either historical, current or planned."
ANNMED,medication note,"Description:A note that is specific to a patient's medications, either historical, current or planned."
ANNU,annuity policy,"Definition: A policy that, after an initial premium or premiums, pays out a sum at pre-determined intervals. For example, a policy holder may pay $10,000, and in return receive $150 each month until he dies; or $1,000 for each of 14 years or death benefits if he dies before the full term of the annuity has elapsed."
ANONY,anonymize,Custodian system must remove any information that could result in identifying the information subject.
AOD,accounting of disclosure,"Custodian system must make available to an information subject upon request an accounting of certain disclosures of the individualâ€™s protected health information over a period of time. Policy may dictate that the accounting include information about the information disclosed, the date of disclosure, the identification of the receiver, the purpose of the disclosure, the time in which the disclosing entity must provide a response and the time period for which accountings of disclosure can be requested."
AOSC,accredited office-based surgery care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the respective accreditation agency.
AR,adjudicated as refused,"The invoice element has passed through the adjudication process but payment is refused due to one or more reasons. Includes items such as patient not covered, or invoice element is not constructed according to payer rules (e.g. 'invoice submitted too late'). If one invoice element line item in the invoice element structure is rejected, the remaining line items may not be adjudicated and the complete group is treated as rejected. A refused invoice element can be forwarded to the next payer (for Coordination of Benefits) or modified and resubmitted to refusing payer. Invoice element cannot be reversed (nullified) as there is nothing to reverse. Recommend that the invoice element is not saved for DUR (Drug Utilization Reporting)."
ARCAT,adverse drug reaction category,Description: All information pertaining to a patient's adverse drug reactions.
ARTBLD,ActSpecObsArtBldCode,Describes the artificial blood identifier that is associated with the specimen.
AS,adjudicated as submitted,"The invoice element was/will be paid exactly as submitted, without financial adjustment(s). If the dollar amount stays the same, but the billing codes have been amended or financial adjustments have been applied through the adjudication process, the invoice element is treated as ""Adjudicated with Adjustment"". If information items are included in the adjudication results that do not affect the monetary amounts paid, then this is still Adjudicated as Submitted (e.g. 'reached Plan Maximum on this Claim'). Invoice element can be reversed (nullified). Recommend that the invoice element is saved for DUR (Drug Utilization Reporting)."
ASSERTION,Assertion,"Description:Refines classCode OBS to indicate an observation in which observation.value contains a finding or other nominalized statement, where the encoded information in Observation.value is not altered by Observation.code. For instance, observation.code=""ASSERTION"" and observation.value=""fracture of femur present"" is an assertion of a clinical finding of femur fracture."
AUDIT,audit,Custodian system must monitor systems to ensure that all users are authorized to operate on information objects.
AUDTR,audit trail,Custodian system must monitor and maintain retrievable log for each user and operation on information.
AUTH,Authorized,Authorization approved and funds have been set aside to pay for specified healthcare service(s) and/or product(s) within defined criteria for the authorization.
AUTHPOL,authorization policy,"Authorisation policies are essentially security policies related to access-control and specify what activities a subject is permitted or forbidden to do, to a set of target objects. They are designed to protect target objects so are interpreted by access control agents or the run-time systems at the target system. A positive authorisation policy defines the actions that a subject is permitted to perform on a target. A negative authorisation policy specifies the actions that a subject is forbidden to perform on a target. Positive authorisation policies may also include filters to transform the parameters associated with their actions. (Based on PONDERS)"
AUTO,auto-repeat permission,Specifies whether or not automatic repeat testing is to be initiated on specimens.
AUTO-HIGH,Auto-High Dilution,The dilution of a sample performed by automated equipment. The value is specified by the equipment
AUTO-LOW,Auto-Low Dilution,The dilution of a sample performed by automated equipment. The value is specified by the equipment
AUTOATTCH,auto attachment,Description: Automobile Information Attachment
AUTOPOL,automobile,"Insurance policy for injuries sustained in an automobile accident. Will also typically covered non-named parties to the policy, such as pedestrians and passengers."
AVAILABLE,Available Volume,"The available quantity of specimen. This is the current quantity minus any planned consumption (e.g., tests that are planned)"
B,business information sensitivity,"Policy for handling trade secrets such as financial information or intellectual property, which will be afforded heightened confidentiality. Description: Since the service class can represent knowledge structures that may be considered a trade or business secret, there is sometimes (though rarely) the need to flag those items as of business level confidentiality. Usage Notes: No patient related information may ever be of this confidentiality level. If there is a jurisdictional mandate, then use the applicable ActPrivacyLaw code system, and specify the law rather than or in addition to this more generic code."
BDYFLDTRNS,body fluid contact transmission,Communication of an agent from one living subject to another living subject through direct contact with any body fluid.
BH,behavioral health information sensitivity,"Policy for handling information related to behavioral and emotional disturbances affecting social adjustment and physical health, which is afforded heightened confidentiality. Usage Note: If there is a jurisdictional mandate, then use the applicable ActPrivacyLaw code system, and specify the law in addition to this more generic code."
BLDTRNS,blood borne transmission,Communication of an agent to a living subject through direct contact with blood or blood products whether the contact with blood is part of a therapeutic procedure or not.
BLK,block funding,A billing arrangement where a Provider charges a lump sum to provide a prescribed group (volume) of services to a single patient which occur over a period of time. Services included in the block may vary. This billing arrangement is also known as Program of Care for some specific Payors and Program Fees for other Payors.
BONUS,bonus,"Bonus payments based on performance, volume, etc. as agreed to by the payor."
BR,breikost (GE),"A diet exclusively composed of oatmeal, semolina, or rice, to be extremely easy to eat and digest."
BUS,business constraint violation,Description:A local business rule relating multiple elements has been violated.
C,corrected,Description:Indicates that result data has been corrected.
CACC,certified anatomic pathology and clinical pathology care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CACS,certified acute coronary syndrome care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CAIC,certified allergy and immunology care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CAMC,certified aerospace medicine care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CAMI,certified acute myocardial infarction care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CANC,certified anesthesiology care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CANCAPT,cancelled appointment,A charge to compensate the provider when a patient cancels an appointment with insufficient time for the provider to make another appointment with another patient.
CANPRG,women's cancer detection program,"Definition: A program that provides low-income, uninsured, and underserved women access to timely, high-quality screening and diagnostic services, to detect breast and cervical cancer at the earliest stages. Example: To improve women's access to screening for breast and cervical cancers, Congress passed the Breast and Cervical Cancer Mortality Prevention Act of 1990, which guided CDC in creating the National Breast and Cervical Cancer Early Detection Program (NBCCEDP), which provides access to critical breast and cervical cancer screening services for underserved women in the United States. An estimated 7 to 10% of U.S. women of screening age are eligible to receive NBCCEDP services. Federal guidelines establish an eligibility baseline to direct services to uninsured and underinsured women at or below 250% of federal poverty level; ages 18 to 64 for cervical screening; ages 40 to 64 for breast screening."
CAP,capitation funding,A billing arrangement where the payment made to a Provider is determined by analyzing one or more demographic attributes about the persons/patients who are enrolled with the Provider (in their practice).
CAPC,certified anatomic pathology care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CARD,Cardiology,Provision of diagnosis and treatment of diseases and disorders affecting the heart
CARELIST,care plan,List of acts representing a care plan. The acts can be in a varierty of moods including event (EVN) to record acts that have been carried out as part of the care plan.
CASESER,case seriousness criteria,Definition:An observation that provides a characterization of the level of harm to an investigation subject as a result of a reaction or event.
CASH,Cash,Cash
CAST,certified asthma care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CBAR,certified bariatric surgery care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CBGC,certified clinical biochemical genetics care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CC,credit card,Description: Types of advance payment to be made on a plastic card usually issued by a financial institution used of purchasing services and/or products.
CCAD,certified coronary artery disease care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CCAR,certified cardiac care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CCCC,certified clinical cytogenetics care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CCGC,certified clinical genetics (M.D.) care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CCPC,certified clinical pathology care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CCSC,certified colon and rectal surgery care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CDEC,certified dermatology care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CDEP,certified depression care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CDGD,certified digestive/gastrointestinal disorders care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CDIA,certified diabetes care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CDIO,case disease imported observation,"An observation that states whether the disease was likely acquired outside the jurisdiction of observation, and if so, the nature of the inter-jurisdictional relationship. OpenIssue: This code could be moved to LOINC if it can be done before there are significant implemenations using it."
CDRC,certified diagnostic radiology care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CDSREV,clinical decision support intervention review,A person reviews a recommendation/assessment provided automatically by a clinical decision support application for a given patient.
CEL,celebrity information sensitivity,"Policy for handling information related to a celebrity (people of public interest (VIP), which will be afforded heightened confidentiality. Celebrities are people of public interest (VIP) about whose information an enterprise may have a policy that requires heightened confidentiality. Information deemed sensitive may include health information and patient role information including patient status, demographics, next of kin, and location. Usage Note: For use within an enterprise in which the information subject is deemed a celebrity or very important person. If there is a jurisdictional mandate, then use the applicable ActPrivacyLaw code system, and specify the law rather than or in addition to this more generic code."
CEMC,certified emergency medicine care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CEPI,certified epilepsy care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CFEL,certified frail elderly care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CFPC,certified family practice care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CFWD,carry forward adjusment,An amount still owing to the payor but the payment is 0$ and this cannot be settled until a future payment is made.
CHAR,charity program,Definition: A program that covers the cost of services provided directly to a beneficiary who typically has no other source of coverage without charge.
CHFC,certified heart failure care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CHK,Cheque,A written order to a bank to pay the amount specified from funds on deposit.
CHLDCARE,Day care - Child care Interaction,Description: Exposure participants' interaction occurred in a child care setting
CHR,Chronic,Provision of recurring care for chronic illness.
CHRG,Standard Charge,A type of transaction that represents a charge for a service or product. Expressed in monetary terms.
CHRO,certified high risk obstetrics care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CHRON,continuous/chronic,Definition:A list of medications which are expected to be continued beyond the present order and which the patient should be assumed to be taking unless explicitly stopped.
CHYP,certified hyperlipidemia care,Description:Scope of responsibility taken on by an organization for care of a patient as defined by the disease management certification agency.
CIMC,certified internal medicine care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CIRCLE,circle,"A circle defined by two (column,row) pairs. The first point is the center of the circle and the second point is a point on the perimeter of the circle."
CLINNOTEE,clinical note entry task,A clinician enters a clinical note about a given patient
CLINNOTEREV,clinical note review task,A person reviews a clinical note of a given patient.
CLSSRM,classroom,Description: The class room associated with the patient during the immunization event.
CMGC,certified clinical molecular genetics care,Description:Scope of responsibility taken on for specialty care as defined by the respective Specialty Board.
CMIH,certified migraine headache care,Description:.
CMPMSRMTH,composite measure method,Indicates what method is used in a quality measure to combine the component measure results included in an composite measure.
