system,code,display,definition
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CHEWTAB,Chewable Tablet,"A solid dosage form containing medicinal substances with or without suitable diluents that is intended to be chewed, producing a pleasant tasting residue in the oral cavity that is easily swallowed and does not leave a bitter or unpleasant after-taste."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CPTAB,Coated Particles Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CRM,Cream,"A semisolid dosage form containing one or more drug substances dissolved or dispersed in a suitable base; more recently, the term has been restricted to products consisting of oil-in-water emulsions or aqueous microcrystalline dispersions of long chain fatty acids or alcohols that are water washable and more cosmetically and aesthetically acceptable."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,CRYS,Crystals,A naturally produced angular solid of definite form in which the ultimate units from which it is built up are systematically arranged; they are usually evenly spaced on a regular space lattice.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DERMSPRY,Dermal Spray,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DISINTAB,Disintegrating Tablet,"A solid dosage form containing medicinal substances which disintegrates rapidly, usually within a matter of seconds, when placed upon the tongue."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DISK,Disk,A circular plate-like organ or structure.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DOUCHE,Douche,"A liquid preparation, intended for the irrigative cleansing of the vagina, that is prepared from powders, liquid solutions, or liquid concentrates and contains one or more chemical substances dissolved in a suitable solvent or mutually miscible solvents."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DROP,Drops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DROP,Drops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,DRTAB,Delayed Release Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ECTAB,Enteric Coated Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ELIXIR,Elixir,"A clear, pleasantly flavored, sweetened hydroalcoholic liquid containing dissolved medicinal agents; it is intended for oral use."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ENEMA,Enema,"A rectal preparation for therapeutic, diagnostic, or nutritive purposes."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ENTCAP,Enteric Coated Capsule,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERCAP,Extended Release Capsule,"A solid dosage form in which the drug is enclosed within either a hard or soft soluble container made from a suitable form of gelatin, and which releases a drug (or drugs) in such a manner to allow a reduction in dosing frequency as compared to that drug (or drugs) presented as a conventional dosage form."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERCAP12,12 Hour Extended Release Capsule,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERCAP24,24 Hour Extended Release Capsule,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERECTAB,Extended Release Enteric Coated Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERECTAB,Extended Release Enteric Coated Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERENTCAP,Extended Release Enteric Coated Capsule,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERENTCAP,Extended Release Enteric Coated Capsule,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERSUSP,Extended-Release Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERSUSP12,12 Hour Extended-Release Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERSUSP24,24 Hour Extended Release Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERTAB,Extended Release Tablet,A solid dosage form containing a drug which allows at least a reduction in dosing frequency as compared to that drug presented in conventional dosage form.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERTAB12,12 Hour Extended Release Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ERTAB24,24 Hour Extended Release Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,FLAKE,Flakes,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,FOAM,Foam,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,FOAMAPL,Foam with Applicator,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,GASINHL,Gas for Inhalation,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,GEL,Gel,A semisolid system consisting of either suspensions made up of small inorganic particles or large organic molecules interpenetrated by a liquid.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,GELAPL,Gel with Applicator,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,GRAN,Granules,A small particle or grain.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,GUM,ChewingGum,"A sweetened and flavored insoluble plastic material of various shapes which when chewed, releases a drug substance into the oral cavity."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,INHL,Inhalant,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,INHLPWD,Inhalant Powder,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,INHLSOL,Inhalant Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,IPSOL,Intraperitoneal Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,IRSOL,Irrigation Solution,"A sterile solution intended to bathe or flush open wounds or body cavities; they're used topically, never parenterally."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ITSUSP,Intrathecal Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,IVSOL,Intravenous Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,LIN,Liniment,"A solution or mixture of various substances in oil, alcoholic solutions of soap, or emulsions intended for external application."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,LIQCLN,Liquid Cleanser,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,LIQSOAP,Medicated Liquid Soap,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,LTN,Lotion,"The term ""lotion"" has been used to categorize many topical suspensions, solutions and emulsions intended for application to the skin."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,MDINHL,Metered Dose Inhaler,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,MDINHLPWD,Metered Dose Powder Inhaler,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,MEDBAR,Medicated Bar Soap,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,MEDPAD,Medicated Pad,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,MEDSWAB,Medicated swab,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,MUCTOPSOL,Mucous Membrane Topical Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,NASCRM,Nasal Cream,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,NASGEL,Nasal Gel,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,NASINHL,Nasal Inhalant,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,NASOINT,Nasal Ointment,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,NASSPRY,Nasal Spray,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,NDROP,Nasal Drops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OIL,Oil,"An unctuous, combustible substance which is liquid, or easily liquefiable, on warming, and is soluble in ether but insoluble in water. Such substances, depending on their origin, are classified as animal, mineral, or vegetable oils."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OINT,Ointment,A semisolid preparation intended for external application to the skin or mucous membranes.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OINTAPL,Ointment with Applicator,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OPCRM,Ophthalmic Cream,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OPDROP,Ophthalmic Drops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OPGEL,Ophthalmic Gel,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OPIRSOL,Ophthalmic Irrigation Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OPOINT,Ophthalmic Ointment,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OPSUSP,Ophthalmic Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORALSOL,Oral Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORCAP,Oral Capsule,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORCRM,Oral Cream,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORDROP,Oral Drops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORDROP,Oral Drops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORINHL,Oral Inhalant,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORSUSP,Oral Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORTAB,Oral Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,ORTROCHE,Lozenge/Oral Troche,"A solid preparation containing one or more medicaments, usually in a flavored, sweetened base which is intended to dissolve or disintegrate slowly in the mouth."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OTCRM,Otic Cream,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OTDROP,Otic Drops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OTGEL,Otic Gel,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OTOINT,Otic Ointment,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,OTSUSP,Otic Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PAD,Pad,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PASTE,Paste,A semisolid dosage form that contains one or more drug substances intended for topical application.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PATCH,Patch,"A drug delivery system that contains an adhesived backing and that permits its ingredients to diffuse from some portion of it (e.g., the backing itself, a reservoir, the adhesive, or some other component) into the body from the external site where it is applied."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PELLET,Pellet,"A small sterile solid mass consisting of a highly purified drug (with or without excipients) made by the formation of granules, or by compression and molding."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PILL,Pill,"A small, round solid dosage form containing a medicinal agent intended for oral administration."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,POWD,Powder,"An intimate mixture of dry, finely divided drugs and/or chemicals that may be intended for internal or external use."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PUD,Pudding,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PUFF,Puff,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,PWDSPRY,Powder Spray,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECCRM,Rectal Cream,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECFORM,Rectal foam,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECOINT,Rectal Ointment,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECPWD,Rectal Powder,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECSOL,Rectal Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECSPRY,Rectal Spray,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECSUPP,Rectal Suppository,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RECSUSP,Rectal Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,RINSE,Mouthwash/Rinse,"An aqueous solution which is most often used for its deodorant, refreshing, or antiseptic effect."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SCOOP,Scoops,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SHMP,Shampoo,A liquid soap or detergent used to clean the hair and scalp and is often used as a vehicle for dermatologic agents.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SLTAB,Sublingual Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SOL,Solution,"A liquid preparation that contains one or more chemical substances dissolved, i.e., molecularly dispersed, in a suitable solvent or mixture of mutually miscible solvents."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SPRY,Sprays,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SPRYADAPT,Spray with Adaptor,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SRBUCTAB,Sustained Release Buccal Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SUPP,Suppository,"A solid body of various weights and shapes, adapted for introduction into the rectal, vaginal, or urethral orifice of the human body; they usually melt, soften, or dissolve at body temperature."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SUSP,Suspension,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SWAB,Swab,A wad of absorbent material usually wound around one end of a small stick and used for applying medication or for removing material from an area.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,SYRUP,Syrup,"An oral solution containing high concentrations of sucrose or other sugars; the term has also been used to include any other liquid dosage form prepared in a sweet and viscid vehicle, including oral suspensions."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TAB,Tablet,A solid dosage form containing medicinal substances with or without suitable diluents.
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TINC,Tincture,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TOPCRM,Topical Cream,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TOPGEL,Topical Gel,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TOPLTN,Topical Lotion,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TOPOIL,Topical Oil,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TOPOINT,Topical Ointment,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TOPPWD,Topical Powder,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TOPSOL,Topical Solution,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TPASTE,Toothpaste,"A paste formulation intended to clean and/or polish the teeth, and which may contain certain additional agents."
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TPATCH,Transdermal Patch,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TPATH16,16 Hour Transdermal Patch,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TPATH24,24 Hour Transdermal Patch,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TPATH2WK,Biweekly Transdermal Patch,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TPATH72,72 Hour Transdermal Patch,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,TPATHWK,Weekly Transdermal Patch,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,URETHGEL,Urethral Gel,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,URETHSUPP,Urethral suppository,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGCRM,Vaginal Cream,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGCRMAPL,Vaginal Cream with Applicator,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGFOAM,Vaginal foam,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGFOAMAPL,Vaginal foam with applicator,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGGEL,Vaginal Gel,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGOINT,Vaginal Ointment,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGOINTAPL,Vaginal Ointment with Applicator,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGPWD,Vaginal Powder,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGSPRY,Vaginal Spray,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGSUPP,Vaginal Suppository,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VAGTAB,Vaginal Tablet,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,VGELAPL,Vaginal Gel with Applicator,
http://terminology.hl7.org/CodeSystem/v3-orderableDrugForm,WAFER,Wafer,A thin slice of material containing a medicinal agent.
