code,display,definition
249473004,Altered appetite,Perubahan nafsu makan
275258002,Breast changes,Perubahan bentuk payudara
278528006,Facial swelling,Pembengkakan wajah
26079004,Tremor,Tremor
62476001,Disorientated,Disorientasi
257552002,Inflammation,Peradangan
420103007,Watery eye,Mata berair
45352006,Spasm,Spasme
271782001,Drowsy,Mudah mengantuk
718403007,Decreased urine output,BAK sedikit
