code,description
meq/min,milliequivalent per minute
meq/{specimen},milliequivalent per specimen
meq/m2,milliequivalent per square meter
meq/{total_volume},milliequivalent per total volume
mg,milligram
mg{FEU}/L,milligram fibrinogen equivalent unit per liter
mg/(10.h),milligram per 10 hour
mg/(12.h),milligram per 12 hour
mg/(2.h),milligram per 2 hour
mg/(24.h),milligram per 24 hour
mg/(6.h),milligram per 6 hour
mg/(72.h),milligram per 72 hour
mg/(8.h),milligram per 8 hour
mg/{collection},milligram per collection
mg/m3,milligram per cubic meter
mg/d,milligram per day
mg/d/{1.73_m2},milligram per day per 1.73 square meter
mg/dL,milligram per deciliter
mg/dL{RBCs},milligram per deciliter of red blood cells
mg/g,milligram per gram
mg/g{creat},milligram per gram of creatinine
mg/g{dry_tissue},milligram per gram of dry tissue
mg/g{feces},milligram per gram of feces
mg/g{tissue},milligram per gram of tissue
mg/g{wet_tissue},milligram per gram of wet tissue
mg/h,milligram per hour
mg/kg,milligram per kilogram
mg/kg/(8.h),milligram per kilogram per 8 hour
mg/kg/d,milligram per kilogram per day
mg/kg/h,milligram per kilogram per hour
mg/kg/min,milligram per kilogram per minute
mg/L,milligram per liter
mg/L{RBCs},milligram per liter of red blood cells
mg/mg,milligram per milligram
mg/mg{creat},milligram per milligram of creatinine
mg/mL,milligram per milliliter
mg/mmol,milligram per millimole
mg/mmol{creat},milligram per millimole of creatinine
mg/min,milligram per minute
mg/{specimen},milligram per specimen
mg/m2,milligram per square meter
mg/{total_output},milligram per total output
mg/{total_volume},milligram per total volume
mg/wk,milligram per week
mL,milliliter
mL{fetal_RBCs},milliliter of fetal red blood cells
mL/(10.h),milliliter per 10 hour
mL/(12.h),milliliter per 12 hour
mL/(2.h),milliliter per 2 hour
mL/(24.h),milliliter per 24 hour
mL/(4.h),milliliter per 4 hour
mL/(5.h),milliliter per 5 hour
mL/(6.h),milliliter per 6 hour
mL/(72.h),milliliter per 72 hour
mL/(8.h),milliliter per 8 hour
mL/(8.h)/kg,milliliter per 8 hour per kilogram
mL/cm[H2O],milliliter per centimeter of water
mL/d,milliliter per day
mL/dL,milliliter per deciliter
mL/{beat},milliliter per heart beat
mL/{beat}/m2,milliliter per heart beat per  square meter
mL/h,milliliter per hour
mL/kg,milliliter per kilogram
mL/kg/(8.h),milliliter per kilogram per 8 hour
mL/kg/d,milliliter per kilogram per day
mL/kg/h,milliliter per kilogram per hour
mL/kg/min,milliliter per kilogram per minute
mL/mbar,milliliter per millibar
mL/mm,milliliter per millimeter
mL/min,milliliter per minute
mL/min/{1.73_m2},milliliter per minute per 1.73 square meter
mL/min/m2,milliliter per minute per square meter
mL/s,milliliter per second
mL/[sin_i],milliliter per square inch (international)
mL/m2,milliliter per square meter
mm,millimeter
mm[Hg],millimeter of mercury
mm[H2O],millimeter of water
mm/h,millimeter per hour
mm/min,millimeter per minute
mmol,millimole
mmol/(12.h),millimole per 12 hour
mmol/(2.h),millimole per 2 hour
mmol/(24.h),millimole per 24 hour
mmol/(5.h),millimole per 5 hour
mmol/(6.h),millimole per 6 hour
mmol/(8.h),millimole per 8 hour
mmol/d,millimole per day
mmol/dL,millimole per deciliter
mmol/{ejaculate},millimole per ejaculate
mmol/g,millimole per gram
mmol/g{creat},millimole per gram of creatinine
mmol/h,millimole per hour
mmol/h/mg{Hb},millimole per hour per milligram of hemoglobin
mmol/h/mg{prot},millimole per hour per milligram of protein
mmol/kg,millimole per kilogram
mmol/kg/(8.h),millimole per kilogram per 8 hour
mmol/kg/d,millimole per kilogram per day
mmol/kg/h,millimole per kilogram per hour
mmol/kg/min,millimole per kilogram per minute
mmol/L,millimole per liter
mmol/L{RBCs},millimole per liter of red blood cells
mmol/mmol,millimole per millimole
mmol/mmol{urea},millimole per millimole of urea
mmol/mmol{creat},millimole per millmole of creatinine
mmol/min,millimole per minute
mmol/mol,millimole per mole
mmol/mol{creat},millimole per mole of creatinine
mmol/s/L,millimole per second per liter
mmol/{specimen},millimole per specimen
mmol/m2,millimole per square meter
mmol/{total_vol},millimole per total volume
10*6,million
10*6.[CFU]/L,million colony forming unit per liter
10*6.[IU],million international unit
10*6/(24.h),million per 24 hour
10*6/kg,million per kilogram
10*6/L,million per liter
10*6/uL,million per microliter
10*6/mL,million per milliliter
mosm,milliosmole
mosm/kg,milliosmole per kilogram
mosm/L,milliosmole per liter
mPa,millipascal
mPa.s,millipascal second
ms,millisecond
mV,millivolt
mV/s,millivolt per second
{minidrop}/min,minidrop per minute
{minidrop}/s,minidrop per second
min,minute
min/d,minute per day
min/wk,minute per week
mol,mole
mol/m3,mole per cubic meter
mol/kg,mole per kilogram
mol/kg/s,mole per kilogram per second
mol/L,mole per liter
mol/mL,mole per milliliter
mol/mol,mole per mole
mol/s,mole per second
{#}/{platelet},molecule per platelet
mo,month
{mm/dd/yyyy},month-day-year
{M.o.M},multiple of the median
{mutation},mutation
nU/mL,nanoenzyme unit per milliliter
nU/{RBC},nanoenzyme unit per red blood cell
ng,nanogram
ng{FEU}/mL,nanogram fibrinogen equivalent unit per milliliter
ng/(24.h),nanogram per 24 hour
ng/(8.h),nanogram per 8 hour
ng/d,nanogram per day
ng/dL,nanogram per deciliter
ng/U,nanogram per enzyme unit
ng/g,nanogram per gram
ng/g{creat},nanogram per gram of creatinine
ng/h,nanogram per hour
ng/kg,nanogram per kilogram
ng/kg/(8.h),nanogram per kilogram per 8 hour
ng/kg/h,nanogram per kilogram per hour
ng/kg/min,nanogram per kilogram per minute
ng/L,nanogram per liter
ng/mg,nanogram per milligram
ng/mg{creat},nanogram per milligram of creatinine
ng/mg{prot},nanogram per milligram of protein
ng/mg/h,nanogram per milligram per hour
ng/mL{RBCs},nanogram per milliliter of red blood cells
ng/mL/h,nanogram per milliliter per hour
ng/10*6,nanogram per million
ng/10*6{RBCs},nanogram per million red blood cells
ng/mL,nanogram per millliiter
ng/min,nanogram per minute
ng/s,nanogram per second
ng/m2,nanogram per square meter
nkat,nanokatal
nL,nanoliter
nm,nanometer
nm/s/L,nanometer per second per liter
nmol,nanomole
nmol{BCE},nanomole bone collagen equivalent
nmol{BCE}/L,nanomole bone collagen equivalent per liter
nmol/mmol{creat},nanomole bone collagen equivalent per millimole of creatinine
nmol/mg{prot},nanomole of 1/2 cystine per milligram of protein
nmol{ATP},nanomole of ATP
nmol/(24.h),nanomole per 24 hour
nmol/d,nanomole per day
nmol/dL,nanomole per deciliter
nmol/dL{GF},nanomole per deciliter of glomerular filtrate
nmol/g,nanomole per gram
nmol/g{creat},nanomole per gram of creatinine
nmol/g{dry_wt},nanomole per gram of dry weight
nmol/h/L,nanomole per hour per liter
nmol/h/mg{prot},nanomole per hour per milligram of protein
nmol/h/mL,nanomole per hour per milliliter
nmol/L,nanomole per liter
nmol/L{RBCs},nanomole per liter of red blood cells
nmol/L/mmol{creat},nanomole per liter per millimole of creatinine
nmol/m/mg{prot},nanomole per meter per milligram of protein
nmol/umol{creat},nanomole per micromole  of creatinine
nmol/mg,nanomole per milligram
nmol/mg{creat},nanomole per milligram of creatinine
nmol/mg{prot},nanomole per milligram of protein
nmol/mg{prot}/h,nanomole per milligram of protein per hour
nmol/mg/h,nanomole per milligram per hour
nmol/mL,nanomole per milliliter
nmol/mL/h,nanomole per milliliter per hour
nmol/mL/min,nanomole per milliliter per minute
nmol/mmol,nanomole per millimole
nmol/mmol{creat},nanomole per millimole of creatinine
nmol/min,nanomole per minute
nmol/min/mg{Hb},nanomole per minute per milligram of hemoglobin
nmol/min/mg{prot},nanomole per minute per milligram of protein
nmol/min/mg{protein},nanomole per minute per milligram protein
nmol/min/mL,nanomole per minute per milliliter
nmol/min/10*6{cells},nanomole per minute per million cells
nmol/mol,nanomole per mole
nmol/mol{creat},nanomole per mole creatinine
nmol/nmol,nanomole per nanomole
nmol/s,nanomole per second
nmol/s/L,nanomole per second per liter
ns,nanosecond
N,Newton
N.cm,Newton centimeter
N.s,Newton second
{#},number
{#}/a,number per annum (year)
{#}/d,number per day
{#}/g,number per gram
{#}/[HPF],number per high power field
{#}/L,number per liter
{#}/[LPF],number per low power field
{#}/uL,number per microliter
{#}/mL,number per milliliter
{#}/min,number per minute
{#}/wk,number per week
Ohm,Ohm
Ohm.m,Ohm meter
10*5,one hundred thousand
{OD_unit},optical density unit
osm,osmole
osm/kg,osmole per kilogram
osm/L,osmole per liter
[oz_av],ounce (US and British)
{Pan_Bio'U},panbio unit
[ppb],part per billion
[ppm],part per million
[ppm]{v/v},part per million in volume per volume
[ppth],part per thousand
[pptr],part per trillion
Pa,Pascal
/10*10,per 10 billion
/10*4{RBCs},per 10 thousand red blood cells
/100,per 100
/100{cells},per 100 cells
/100{neutrophils},per 100 neutrophils
/100{spermatozoa},per 100 spermatozoa
/100{WBCs},per 100 white blood cells
/[arb'U],per arbitrary unit
/10*9,per billion
/cm[H2O],per centimeter of water
/m3,per cubic meter
/d,per day
/dL,per deciliter
/{entity},per entity
/U,per enzyme unit
/g,per gram
/g{creat},per gram of creatinine
/g{Hb},per gram of hemoglobin
/g{tot_nit},per gram of total nitrogen
/g{tot_prot},per gram of total protein
/g{wet_tis},per gram of wet tissue
/[HPF],per high power field
/h,per hour
/[IU],per international unit
/kg,per kilogram
/kg{body_wt},per kilogram of body weight
/L,per liter
/[LPF],per low power field
/uL,per microliter
/mg,per milligram
/mL,per milliliter
/mm,per millimeter
/mmol{creat},per millimole of creatinine
/10*6,per million
/min,per minute
/mo,per month
/{OIF},per oil immersion field
/s,per second
/m2,per square meter
/10*3,per thousand
/10*3{RBCs},per thousand red blood cells
/10*12,per trillion
/10*12{RBCs},per trillion red blood cells
/(12.h),per twelve hour
/wk,per week
/a,per year
%,percent
%{loss_AChR},percent  loss of acetylcholine receptor
%{penetration},percent  penetration
%{abnormal},percent abnormal
%{activity},percent activity
%{aggregation},percent aggregation
%{at_60_min},percent at 60 minute
%{basal_activity},percent basal activity
%{binding},percent binding
%{blockade},percent blockade
%{blocked},percent blocked
%{bound},percent bound
%{breakdown},percent breakdown
%{vol},percent by volume
%{deficient},percent deficient
%{dose},percent dose
%{excretion},percent excretion
%{Hb},percent hemoglobin
%{hemolysis},percent hemolysis
%{index},percent index
%{inhibition},percent inhibition
%{loss},percent loss
%{lysis},percent lysis
%{normal},percent normal
%{pooled_plasma},percent normal pooled plasma
%{bacteria},percent of bacteria
%{baseline},percent of baseline
%{cells},percent of cells
%{RBCs},percent of red blood cells
%{WBCs},percent of white blood cells
%{positive},percent positive
%{reactive},percent reactive
%{recovery},percent recovery
%{reference},percent reference
%{residual},percent residual
%{response},percent response
%{saturation},percent saturation
%{total},percent total
%{uptake},percent uptake
%{viable},percent viable
{percentile},percentile
[pH],pH
{phenotype},phenotype
pA,picoampere
pg,picogram
pg/{cell},picogram per cell
pg/dL,picogram per deciliter
pg/L,picogram per liter
pg/mg,picogram per milligram
pg/mg{creat},picogram per milligram of creatinine
pg/mL,picogram per milliliter
pg/mL{sLT},picogram per milliliter sulfidoleukotrienes
pg/mm,picogram per millimeter
pg/{RBC},picogram per red blood cell
pkat,picokatal
pL,picoliter
pm,picometer
pmol,picomole
pmol/(24.h),picomole per 24 hour
pmol/d,picomole per day
pmol/dL,picomole per deciliter
pmol/g,picomole per gram
pmol/h/mg{prot},picomole per hour per milligram of protein
pmol/H/mg{protein},picomole per hour per milligram protein
pmol/h/mL,picomole per hour per milliliter
pmol/L,picomole per liter
pmol/umol,picomole per micromole
pmol/umol{creat},picomole per micromole of creatinine
pmol/mg{prot},picomole per milligram of protein
pmol/mL,picomole per milliliter
pmol/mmol{creat},picomole per millimole of creatinine
pmol/min,picomole per minute
pmol/min/mg{prot},picomole per minute per milligram of protein
pmol/{RBC},picomole per red blood cell
ps,picosecond
pT,picotesla
[pt_us],pint (US)
[lb_av],pound (US and British)
[psi],pound per square inch
[qt_us],quart (US)
{ratio},ratio
{RBC}/uL,red blood cell per microliter
%{relative},relative percent
{rel_saturation},relative saturation
{risk},risk
{Rubella_virus},rubella virus
{saturation},saturation
{score},score
s,second
s/{control},second per control
{shift},shift
S,Siemens
Sv,Sievert
{s_co_ratio},signal to cutoff ratio
{spermatozoa}/mL,spermatozoa per milliliter
cm2,square centimeter
cm2/s,square centimeter per second
dm2/s2,square decimeter per square second
[sft_i],square foot (international)
[sin_i],square inch (international)
m2,square meter
m2/s,square meter per second
mm2,square millimeter
[syd_i],square yard (international)
{STDV},standard deviation
{Tscore},t score
[tbs_us],tablespoon (US)
[tsp_us],teaspoon (US)
T,Tesla
10*3,thousand
10*3{copies}/mL,thousand copies per milliliter
10*3/L,thousand per liter
10*3/uL,thousand per microliter
10*3/mL,thousand per milliliter
10*3{RBCs},thousand red blood cells
{TSI_index},thyroid-stimulating immunoglobulin index
{TmStp},time stamp
{titer},titer
[todd'U],Todd unit
Torr,Torr
10*12/L,trillion per liter
[oz_tr],Troy ounce
[tb'U],tuberculin unit
V,volt
Wb,Weber
wk,week
{WBCs},white blood cells
[yd_i],yard (international)
a,year
{yyyy},year
{Zscore},z score
