code,display,definition
16214411000119103,Specimen from left upper lobe of lung obtained by endobronchial biopsy,Specimen from left upper lobe of lung obtained by endobronchial biopsy (specimen)
16214371000119104,Specimen from lung obtained by needle biopsy,Specimen from lung obtained by needle biopsy (specimen)
16214331000119102,Specimen from lingula obtained by transbronchial biopsy,Specimen from lingula obtained by transbronchial biopsy (specimen)
16214291000119108,Specimen from right upper lobe of lung obtained by endobronchial biopsy,Specimen from right upper lobe of lung obtained by endobronchial biopsy (specimen)
16214211000119104,Pediculus specimen,Pediculus specimen (specimen)
16214171000119101,Genital fluid specimen,Genital fluid specimen (specimen)
16214131000119104,Frozen tissue section specimen,Frozen tissue section specimen (specimen)
16214091000119101,Specimen from anterior wall of urinary bladder obtained by biopsy,Specimen from anterior wall of urinary bladder obtained by biopsy (specimen)
16214011000119105,Specimen from trigone of urinary bladder obtained by biopsy,Specimen from trigone of urinary bladder obtained by biopsy (specimen)
16213931000119103,Specimen from dome of urinary bladder obtained by biopsy,Specimen from dome of urinary bladder obtained by biopsy (specimen)
16213891000119106,Specimen from posterior wall of urinary bladder obtained by biopsy,Specimen from posterior wall of urinary bladder obtained by biopsy (specimen)
16213851000119101,Tissue specimen from larynx obtained by total resection,Tissue specimen from larynx obtained by total resection (specimen)
16213731000119100,Specimen from liver obtained by needle aspiration biopsy,Specimen from liver obtained by needle aspiration biopsy (specimen)
16213691000119107,Common bile duct brushings specimen,Common bile duct brushings specimen (specimen)
16213651000119102,Duodenal ulcer specimen,Duodenal ulcer specimen (specimen)
16213571000119107,Ileocecal valve biopsy specimen,Ileocecal valve biopsy specimen (specimen)
16213531000119109,Descending colon biopsy specimen,Descending colon biopsy specimen (specimen)
16213491000119109,Caecum biopsy specimen,Cecum biopsy specimen (specimen)
16213451000119104,Right colic flexure biopsy specimen,Right colic flexure biopsy specimen (specimen)
16213411000119100,Ascending colon biopsy specimen,Ascending colon biopsy specimen (specimen)
16213371000119101,Left colic flexure biopsy specimen,Left colic flexure biopsy specimen (specimen)
16213331000119104,Rectosigmoid colon biopsy specimen,Rectosigmoid colon biopsy specimen (specimen)
16213251000119100,Introducer catheter tip submitted as specimen,Introducer catheter tip submitted as specimen (specimen)
16213211000119101,Endotracheal catheter tip submitted as specimen,Endotracheal catheter tip submitted as specimen (specimen)
16213171000119103,Balloon catheter tip submitted as specimen,Balloon catheter tip submitted as specimen (specimen)
16213091000119103,External shunt submitted as specimen,External shunt submitted as specimen (specimen)
16213051000119108,Indwelling catheter tip submitted as specimen,Indwelling catheter tip submitted as specimen (specimen)
16213011000119107,Specimen from bone obtained by core needle biopsy,Specimen from bone obtained by core needle biopsy (specimen)
16212971000119107,Specimen from cartilage obtained by shave excision,Specimen from cartilage obtained by shave excision (specimen)
16212931000119109,Specimen from cranium bone obtained by craniotomy,Specimen from cranium bone obtained by craniotomy (specimen)
16212851000119106,Specimen from corneal ulcer,Specimen from corneal ulcer (specimen)
16212811000119105,Tissue specimen from donor cornea,Tissue specimen from donor cornea (specimen)
16212771000119105,Specimen from eyelid obtained by biopsy,Specimen from eyelid obtained by biopsy (specimen)
16212731000119107,Specimen from ethmoid sinus obtained by biopsy,Specimen from ethmoid sinus obtained by biopsy (specimen)
16212691000119100,Gingiva biopsy specimen,Gingiva biopsy specimen (specimen)
16212571000119100,Specimen from right middle lobe of lung obtained by bronchial brushings procedure,Specimen from right middle lobe of lung obtained by bronchial brushings procedure (specimen)
16212531000119103,Specimen from right lower lobe of lung obtained by bronchial brushings procedure,Specimen from right lower lobe of lung obtained by bronchial brushings procedure (specimen)
16212491000119103,Specimen from left upper lobe of lung obtained by bronchial brushings procedure,Specimen from left upper lobe of lung obtained by bronchial brushings procedure (specimen)
16212451000119108,Specimen from left lower lobe of lung obtained by bronchial brushings procedure,Specimen from left lower lobe of lung obtained by bronchial brushings procedure (specimen)
16212411000119107,Specimen from right upper lobe of lung obtained by bronchial brushings procedure,Specimen from right upper lobe of lung obtained by bronchial brushings procedure (specimen)
16212371000119106,Kidney brushings specimen,Kidney brushings specimen (specimen)
16212331000119108,Autoclave ampule submitted as specimen,Autoclave ampule submitted as specimen (specimen)
16212251000119107,Specimen from stomach obtained by hemigastrectomy,Specimen from stomach obtained by hemigastrectomy (specimen)
16212171000119109,Specimen from urinary bladder obtained by transurethral cystectomy,Specimen from urinary bladder obtained by transurethral cystectomy (specimen)
16212131000119106,Specimen from liver obtained by partial resection,Specimen from liver obtained by partial resection (specimen)
16212091000119109,Specimen from liver obtained by partial lobectomy,Specimen from liver obtained by partial lobectomy (specimen)
16212051000119104,Excised breast ectopic tissue sample,Excised breast ectopic tissue sample (specimen)
16211771000119103,Specimen from breast obtained by mastectomy with axillary contents,Specimen from breast obtained by mastectomy with axillary contents (specimen)
16211731000119101,Specimen from breast with lymph node obtained by modified radical mastectomy,Specimen from breast with lymph node obtained by modified radical mastectomy (specimen)
16211651000119103,Excised bone specimen,Excised bone specimen (specimen)
16211611000119104,Specimen from breast obtained by resection of medial margin,Specimen from breast obtained by resection of medial margin (specimen)
16211571000119108,Specimen from breast obtained by resection of anterior margin,Specimen from breast obtained by resection of anterior margin (specimen)
16211531000119105,Specimen from breast obtained by resection of inferior margin,Specimen from breast obtained by resection of inferior margin (specimen)
16211491000119105,Specimen from breast obtained by resection of lateral margin,Specimen from breast obtained by resection of lateral margin (specimen)
16211451000119100,Specimen from breast obtained by resection of superior margin,Specimen from breast obtained by resection of superior margin (specimen)
16211411000119101,Specimen from breast obtained by resection of posterior margin,Specimen from breast obtained by resection of posterior margin (specimen)
16211371000119102,Specimen from joint cartilage obtained by shave excision,Specimen from joint cartilage obtained by shave excision (specimen)
16211331000119100,Specimen obtained by cystoprostatectomy,Specimen obtained by cystoprostatectomy (specimen)
16211291000119106,Specimen from axilla structure obtained by fine needle aspiration biopsy,Specimen from axilla structure obtained by fine needle aspiration biopsy (specimen)
16211251000119101,Extradural lesion specimen,Extradural lesion specimen (specimen)
16211211000119102,Specimen from intra-abdominal abscess,Specimen from intra-abdominal abscess (specimen)
16211131000119102,Epidural lesion specimen,Epidural lesion specimen (specimen)
16211091000119104,Hydrocoele specimen obtained by fine needle aspiration,Hydrocele specimen obtained by fine needle aspiration (specimen)
16211051000119109,Specimen from deep wound,Specimen from deep wound (specimen)
16211011000119108,Specimen from deep surgical wound,Specimen from deep surgical wound (specimen)
16210971000119108,Swab from lesion,Swab from lesion (specimen)
16210931000119105,Endocervical polyp specimen,Endocervical polyp specimen (specimen)
16210891000119102,Brain neoplasm tissue specimen,Brain neoplasm tissue specimen (specimen)
16210851000119107,Cerebellar neoplasm specimen,Cerebellar neoplasm specimen (specimen)
16210811000119106,Desmoid tumor specimen,Desmoid tumor specimen (specimen)
16210691000119101,Breast cyst specimen,Breast cyst specimen (specimen)
16210651000119106,Branchial cleft cyst specimen,Branchial cleft cyst specimen (specimen)
16210611000119105,Uterine cervix cyst specimen,Uterine cervix cyst specimen (specimen)
16210571000119101,Dental cyst specimen,Dental cyst specimen (specimen)
16210531000119104,Labia ulcer specimen,Labia ulcer specimen (specimen)
16210491000119104,Specimen from endocervix obtained by curettage,Specimen from endocervix obtained by curettage (specimen)
16210451000119109,Specimen from bone obtained by curettage,Specimen from bone obtained by curettage (specimen)
16210411000119108,Specimen from lip obtained by wedge resection,Specimen from lip obtained by wedge resection (specimen)
16210371000119107,Jejunal fluid specimen obtained by drainage,Jejunal fluid specimen obtained by drainage (specimen)
16210331000119109,Gastric fluid specimen obtained via gastrostomy tube,Gastric fluid specimen obtained via gastrostomy tube (specimen)
16210291000119103,Gastric fluid specimen obtained by drainage,Gastric fluid specimen obtained by drainage (specimen)
16210251000119108,Body fluid specimen obtained via Jackson-Pratt drain,Body fluid specimen obtained via Jackson-Pratt drain (specimen)
16210211000119107,Body fluid specimen obtained via cystostomy tube,Body fluid specimen obtained via cystostomy tube (specimen)
16209931000119102,Specimen from right lower lobe of lung obtained by bronchoalveolar lavage procedure,Specimen from right lower lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
16209891000119105,Specimen from right middle lobe of lung obtained by bronchoalveolar lavage procedure,Specimen from right middle lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
16209851000119100,Specimen from right upper lobe of lung obtained by bronchoalveolar lavage procedure,Specimen from right upper lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
16209811000119101,Specimen from left upper lobe of lung obtained by bronchoalveolar lavage procedure,Specimen from left upper lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
16209771000119101,Specimen from left lower lobe of lung obtained by bronchoalveolar lavage procedure,Specimen from left lower lobe of lung obtained by bronchoalveolar lavage procedure (specimen)
16209731000119104,Specimen from right lung obtained by blind bronchioloalveolar lavage procedure,Specimen from right lung obtained by blind bronchioloalveolar lavage procedure (specimen)
16209691000119106,Specimen from left lung obtained by blind bronchioloalveolar lavage procedure,Specimen from left lung obtained by blind bronchioloalveolar lavage procedure (specimen)
16209331000119103,Eye discharge specimen,Eye discharge specimen (specimen)
16209291000119109,Brain cyst fluid specimen,Brain cyst fluid specimen (specimen)
16209251000119104,Central nervous system cyst fluid specimen,Central nervous system cyst fluid specimen (specimen)
15650671000119107,Paraffin embedded slide,Paraffin embedded slide (specimen)
15650601000119102,Thyroid neoplasm tissue specimen,Thyroid neoplasm tissue specimen (specimen)
15650531000119105,Colorectal junction neoplasm tissue specimen,Colorectal junction neoplasm tissue specimen (specimen)
3040001000004107,Paraffin embedded tissue block specimen,Paraffin embedded tissue block specimen (specimen)
461911000124106,Oropharyngeal swab,Swab specimen from oropharynx (specimen)
454951000124103,Swab from head,Swab from head (specimen)
454911000124104,Swab from face,Swab from face (specimen)
435541000124108,Scab specimen,Scab specimen (specimen)
433881000124103,Combined specimen from swab of anterior nares and throat,Combined specimen from swab of anterior nares and throat (specimen)
433871000124101,Nasal washings,Nasal washings (specimen)
433801000124107,Combined nasopharyngeal and oropharyngeal swab,Combined nasopharyngeal and oropharyngeal swab (specimen)
433781000124108,Tissue specimen from mass,Tissue specimen from mass (specimen)
429931000124105,Nasal aspirate specimen,Nasal aspirate specimen (specimen)
57931000052101,Combined cervical mucus and urine specimen,Combined cervical mucus and urine specimen (specimen)
57921000052103,Whole blood specimen with edetic acid,Whole blood specimen with edetic acid (specimen)
57741000052105,Tracheal secretion specimen,Tracheal secretion specimen (specimen)
57731000052104,Stem cell specimen,Stem cell specimen (specimen)
57721000052101,Rectal secretion specimen,Rectal secretion specimen (specimen)
57711000052109,Specimen obtained by puncture procedure,Specimen obtained by puncture procedure (specimen)
57481000052108,Specimen from pancreas obtained by distal pancreatectomy,Specimen from pancreas obtained by distal pancreatectomy (specimen)
50841000087100,Autologous serum eye drops specimen,Autologous serum eye drops specimen (specimen)
42061000087105,Combined specimen from swab of anterior nares and axillary fossa and groin,Combined specimen from swab of anterior nares and axillary fossa and inguinal region (specimen)
40371000087100,Combined specimen from swab of axillary fossa and groin,Combined specimen from swab of axillary fossa and inguinal region (specimen)
38851000087103,In vitro fertilization medium submitted as specimen,In vitro fertilization medium submitted as specimen (specimen)
34151000087104,Specimen from mass obtained by endobronchial ultrasound guided transbronchial fine needle aspiration,Specimen from mass obtained by endobronchial ultrasound guided transbronchial fine needle aspiration (specimen)
34141000087102,Specimen from lymph node obtained by endobronchial ultrasound guided transbronchial fine needle aspiration,Specimen from lymph node obtained by endobronchial ultrasound guided transbronchial fine needle aspiration (specimen)
33931000087107,Vagus nerve electrical stimulation system lead submitted as specimen,Vagus nerve electrical stimulation system lead submitted as specimen (specimen)
33921000087105,Tissue specimen from sclera,Tissue specimen from sclera (specimen)
33911000087102,Tissue specimen from iris,Tissue specimen from iris (specimen)
33901000087104,Swab from tracheostomy stoma,Swab from tracheostomy stoma (specimen)
33891000087100,Fluid specimen from empyema of subdural space,Fluid specimen from empyema of subdural space (specimen)
33671000087100,Combined specimen from swab of anterior nares and anus and throat,Combined specimen from swab of anterior nares and anus and throat (specimen)
33661000087109,Combined specimen from swab of anterior nares and anus and umbilicus,Combined specimen from swab of anterior nares and anus and umbilicus (specimen)
33651000087106,Combined specimen from swab of anterior nares and anus,Combined specimen from swab of anterior nares and anus (specimen)
33641000087108,Combined specimen from swab of anterior nares and anus and axilla,Combined specimen from swab of anterior nares and anus and axilla (specimen)
33631000087102,Allogeneic bone graft material submitted as specimen,Allogeneic bone graft material submitted as specimen (specimen)
33551000087107,Wound packing material submitted as specimen,Wound packing material submitted as specimen (specimen)
33541000087109,Specimen from epidural abscess,Specimen from abscess of epidural space (specimen)
33531000087103,Ommaya reservoir submitted as specimen,Ommaya reservoir submitted as specimen (specimen)
33521000087100,Specimen from subgaleal abscess,Specimen from abscess of subgaleal area (specimen)
33511000087108,Fluid specimen from abdominopelvic cavity,Fluid specimen from abdominopelvic cavity (specimen)
33501000087106,Donor-organ preservation solution specimen,Donor-organ preservation solution specimen (specimen)
33491000087103,Cardiac pacemaker submitted as specimen,Cardiac pacemaker submitted as specimen (specimen)
33481000087100,Cardiac pacemaker component submitted as specimen,Cardiac pacemaker component submitted as specimen (specimen)
33351000087104,Urine specimen from ureterostomy,Urine specimen from ureterostomy (specimen)
33331000087108,Specimen from abscess of vulva,Specimen from abscess of vulva (specimen)
32651000087104,Specimen obtained by transthoracic needle biopsy,Specimen obtained by transthoracic needle biopsy (specimen)
32641000087102,Specimen from ovarian abscess,Specimen from abscess of ovary (specimen)
30961000087106,Urine specimen from ileal conduit,Urine specimen from ileal conduit (specimen)
30941000087105,Swab from eyelid,Swab from eyelid (specimen)
29041000087104,Specimen from pelvic abscess,Specimen from pelvic abscess (specimen)
29031000087105,Specimen from graft,Specimen from graft (specimen)
29021000087108,Specimen from abscess of tooth,Specimen from abscess of tooth (specimen)
29011000087100,Specimen from abscess of lung,Specimen from abscess of lung (specimen)
29001000087102,Swab from external stoma wound,Swab from external stoma wound (specimen)
28991000087102,Swab from epiglottis,Swab from epiglottis (specimen)
28981000087104,Epidural catheter tip submitted as specimen,Epidural catheter tip submitted as specimen (specimen)
28971000087101,Swab from bite wound,Swab from bite wound (specimen)
791000009104,Epithelial tissue specimen from vesicle,Epithelial tissue specimen from vesicle (specimen)
621000009105,Viral isolate specimen,Viral isolate specimen (specimen)
1293160008,Swab from middle region of inferior nasal meatus,Swab from middle region of inferior nasal meatus (specimen)
1285640000,Smear from respiratory specimen,Smear from respiratory specimen (specimen)
1259931002,Hair of face specimen,Hair of face specimen (specimen)
1237234002,Specimen from haemorrhagic ovarian cyst obtained by aspiration,Specimen from hemorrhagic ovarian cyst obtained by aspiration (specimen)
1201985008,Tissue block specimen,Tissue block specimen (specimen)
1179252003,Slide submitted as specimen,Slide submitted as specimen (specimen)
1177151008,Excised mesorectum specimen,Excised mesorectum specimen (specimen)
1173996004,Tissue specimen from polyp obtained by excision,Tissue specimen from polyp obtained by excision (specimen)
1173097006,Specimen from anus and/or rectum,Specimen from anus and/or rectum (specimen)
1172660005,Tissue specimen from extrahepatic bile duct obtained by excision,Tissue specimen from extrahepatic bile duct obtained by excision (specimen)
1163592005,Swab from paraurethral gland,Swab from paraurethral gland (specimen)
1149105007,Oropharyngeal washings,Oropharyngeal washings (specimen)
1003714002,Specimen from prosthetic heart valve,Specimen from prosthetic heart valve (specimen)
1003713008,Prosthetic heart valve submitted as specimen,Prosthetic heart valve submitted as specimen (specimen)
1003712003,Prosthetic joint submitted as specimen,Prosthetic joint submitted as specimen (specimen)
1003711005,Specimen from prosthetic joint,Specimen from prosthetic joint (specimen)
1003710006,Specimen from tube,Specimen from tube (specimen)
1003709001,Tube submitted as specimen,Tube submitted as specimen (specimen)
1003708009,Specimen from drain device,Specimen from drain device (specimen)
1003707004,Drain device submitted as specimen,Drain device submitted as specimen (specimen)
1003706008,Specimen from drain tip,Specimen from drain tip (specimen)
1003705007,Drain tip submitted as specimen,Drain tip submitted as specimen (specimen)
1003522007,Environmental swab from animal burrow,Environmental swab from animal burrow (specimen)
1003517007,Freeze dried specimen,Freeze dried specimen (specimen)
898205005,Dried plasma spot specimen,Dried plasma spot specimen (specimen)
898203003,Vacuum cleaner bag submitted as specimen,Vacuum cleaner bag submitted as specimen (specimen)
898201001,Specimen from device,Specimen from device (specimen)
878861003,Blood specimen in blood culture bottle,Blood specimen in blood culture bottle (specimen)
866035005,Convalescent phase serum specimen,Convalescent phase serum specimen (specimen)
866034009,Acute phase serum specimen,Acute phase serum specimen (specimen)
866033003,Blood specimen in aerobic blood culture bottle,Blood specimen in aerobic blood culture bottle (specimen)
866032008,Blood specimen in anaerobic blood culture bottle,Blood specimen in anaerobic blood culture bottle (specimen)
840395001,Fluid specimen from ear region,Fluid specimen from ear region (specimen)
788707000,Plasma specimen or serum specimen or whole blood specimen,Plasma specimen or serum specimen or whole blood specimen (specimen)
788524009,Tissue specimen obtained by segmental excision,Tissue specimen obtained by segmental excision (specimen)
787152009,Specimen in non-fixative preservation fluid,Specimen in non-fixative preservation fluid (specimen)
787151002,Specimen in tissue fixative,Specimen in tissue fixative (specimen)
787150001,Stained slide of tissue section,Stained slide of tissue section (specimen)
787149001,Unstained slide of tissue section,Unstained slide of tissue section (specimen)
773630006,Urinary catheter submitted as specimen,Urinary catheter submitted as specimen (specimen)
773611006,Hemodialysis catheter submitted as specimen,Hemodialysis catheter submitted as specimen (specimen)
765470006,Hysterectomy and right salpingo-oophorectomy specimen,Hysterectomy and right salpingo-oophorectomy specimen (specimen)
765469005,Hysterectomy and left salpingo-oophorectomy specimen,Hysterectomy and left salpingo-oophorectomy specimen (specimen)
737535000,Blood smear specimen,Blood smear specimen (specimen)
737357006,Fetal blood specimen,Fetal blood specimen (specimen)
737356002,Pooled platelet poor plasma specimen,Pooled platelet poor plasma specimen (specimen)
737089009,Serum specimen from control,Serum specimen from control (specimen)
737087006,Specimen from control,Specimen from control (specimen)
737017003,Joint loose body specimen,Joint loose body specimen (specimen)
737016007,Tissue specimen from aneurysm obtained by surgical excision,Tissue specimen from aneurysm obtained by surgical excision (specimen)
735950000,Swab of vascular catheter insertion site,Swab of vascular catheter insertion site (specimen)
735198008,Specimen from left breast,Specimen from left breast (specimen)
735197003,Specimen from right breast,Specimen from right breast (specimen)
734443003,Urine specimen from ureter obtained by cystoscopy,Urine specimen from ureter obtained by cystoscopy (specimen)
734442008,Specimen from calf of leg,Specimen from calf of leg (specimen)
734427005,Specimen from duodenum obtained by aspiration,Specimen from duodenum obtained by aspiration (specimen)
734426001,Specimen from jejunum obtained by aspiration,Specimen from jejunum obtained by aspiration (specimen)
734425002,Specimen from ear obtained by aspiration,Specimen from ear obtained by aspiration (specimen)
734422004,Specimen from duodenal mucosa,Specimen from duodenal mucosa (specimen)
734421006,Specimen from mass of mediastinal lymph node,Specimen from mass of mediastinal lymph node (specimen)
734420007,Specimen from mass of inguinal lymph node,Specimen from mass of inguinal lymph node (specimen)
734419001,Specimen from mass of axillary lymph node,Specimen from mass of axillary lymph node (specimen)
734417004,Specimen from mass of thoracic cavity,Specimen from mass of thoracic cavity (specimen)
734381007,Specimen from superficial wound,Specimen from superficial wound (specimen)
734380008,Specimen from surgical wound,Specimen from surgical wound (specimen)
734379005,Specimen from periodontal tissue,Specimen from periodontal tissue (specimen)
734377007,Specimen from mass of subcutaneous tissue,Specimen from mass of subcutaneous tissue (specimen)
734375004,Specimen from mass of retroperitoneum,Specimen from mass of retroperitoneum (specimen)
734343002,Specimen from mass of breast,Specimen from mass of breast (specimen)
734342007,Specimen from mass of anterior mediastinum,Specimen from mass of anterior mediastinum (specimen)
734341000,Specimen from mass of posterior mediastinum,Specimen from mass of posterior mediastinum (specimen)
734338009,Arthropod material submitted as specimen,Arthropod material submitted as specimen (specimen)
